id,rootname,filter,expstart,targname
318941,ie4i11h5q,F814W,59000.42969,Q1110+0048
322809,idy64abzq,F606W,59049.24219,2006HA123
322811,idy64ac0q,F814W,59049.24609,2006HA123
322807,idy64ac1q,F814W,59049.29688,2006HA123
322804,idy64ac2q,F814W,59049.30078,2006HA123
322808,idy64ac3q,F814W,59049.30469,2006HA123
323724,ie4n45ndq,F814W,59059.50781,ANY
323721,ie4n45niq,F606W,59059.52734,ANY
323717,ie4n46nrq,F814W,59059.64063,ANY
323718,ie4n46nwq,F606W,59059.65625,ANY
323872,ie4n48ojq,F814W,59059.90625,ANY
323871,ie4n48ooq,F606W,59059.92578,ANY
324859,ie4n73v2q,F606W,59074.86719,ANY
324855,ie4n73v4q,F814W,59074.88281,ANY
324863,ie4n78zlq,F814W,59075.72656,ANY
324861,ie4n78zqq,F606W,59075.74219,ANY
324983,ie4n79i4q,F814W,59077.71094,ANY
324779,ie0n51rqq,F606W,59074.12109,M4
324781,ie0n51rsq,F606W,59074.125,M4
324783,ie0n51ruq,F606W,59074.13281,M4
324780,ie0n51rwq,F606W,59074.13672,M4
324888,ie4i01ugq,F336W,59074.67969,J0152-2001
325445,ie4n16l1q,F814W,59083.73828,ANY
325447,ie4n16l7q,F606W,59083.75391,ANY
325994,ie2k05csq,F606W,59089.40625,RM772
325993,ie2k05ctq,F606W,59089.41406,RM772
325990,ie2k05cuq,F606W,59089.41797,RM772
325979,ie2k05cvq,F606W,59089.42578,RM772
325974,ie2k05cwq,F606W,59089.43359,RM772
325973,ie2k05cyq,F606W,59089.4375,RM772
326124,ie2k04h6q,F606W,59090.26953,RM840
326118,ie2k04h7q,F606W,59090.27344,RM840
326110,ie2k04h8q,F606W,59090.28125,RM840
326125,ie2k04h9q,F606W,59090.28516,RM840
326129,ie2k04haq,F606W,59090.29297,RM840
326120,ie2k04hcq,F606W,59090.29688,RM840
326101,ie2k20i8q,F814W,59090.39844,RM392
326099,ie2k20i9q,F814W,59090.40625,RM392
326100,ie2k20iaq,F814W,59090.41406,RM392
326088,ie2k20ibq,F814W,59090.41797,RM392
326092,ie2k20icq,F814W,59090.42578,RM392
328605,ie9m30wlq,F336W,59122.87109,ANY
328607,ie9m30wpq,F814W,59122.875,ANY
328604,ie9m30wrq,F814W,59122.89844,ANY
328608,ie9m30wvq,F336W,59122.90625,ANY
327467,iedv10afq,F606W,59113.08203,JO206
327459,iedv10b1q,F814W,59113.12109,JO206
327460,iedv10b3q,F814W,59113.12891,JO206
327464,iedv10bdq,F814W,59113.1875,JO206
328741,ie0o11viq,F336W,59122.61328,NGC-7078-M-15
329596,ie5h62ixq,F606W,59132.58984,SDSSJ2342-0120
329601,ie5h62izq,F606W,59132.59766,SDSSJ2342-0120
329597,ie5h62j1q,F606W,59132.60938,SDSSJ2342-0120
329598,ie5h62j3q,F606W,59132.61719,SDSSJ2342-0120
330770,ieag20nzq,F225W,59144.86328,UGC3374
330772,ieag20o1q,F225W,59144.87109,UGC3374
330771,ieag20o3q,F225W,59144.875,UGC3374
328229,ie4i06quq,F336W,59109.14844,J2131-1207
328234,ie4i06r1q,F336W,59109.29297,J2131-1207
328236,ie4i06r5q,F336W,59109.35938,J2131-1207
332591,iehc90fqq,F555W,59167.33203,ANY
333237,iecs33phq,F606W,59178.83203,3C190
333239,iecs33pjq,F606W,59178.83594,3C190
334045,ie4n0dchq,F606W,59187.33594,ANY
339379,iee909zuq,F814W,59244.19922,M82-FIELD3
339381,iee909zwq,F814W,59244.21094,M82-FIELD3
339576,ief201sbq,F606W,59249.17578,SDSSJ0048-0046
339594,ief202w4q,F606W,59250.16016,SDSSJ0048-0046
339586,ief202w7q,F606W,59250.17188,SDSSJ0048-0046
339575,ief201saq,F606W,59249.16797,SDSSJ0048-0046
